party	netloc	count	count_p	count_netloc	ratio	sum_netloc	ideology
CDU	bayernkurier	1	8157	31.0	0.0001225940909648155	0.01989947797198847	0.006160668693791126
CDU	bazonline	2	8157	144.0	0.000245188181929631	0.003982949883395431	0.06155944440872808
CDU	bento	5	8157	225.0	0.0006129704548240775	0.005202615082910247	0.1178196820359797
CDU	berliner-zeitung	5	8157	1490.0	0.0006129704548240775	0.025331764106533323	0.024197701046252285
CDU	bild	153	8157	92565.0	0.01875689591761677	0.0666380811740142	0.28147412991433945
CDU	blick-aktuell	2	8157	60.0	0.000245188181929631	0.003014383078010643	0.08133942355178167
CDU	bloomberg	1	8157	13.0	0.0001225940909648155	0.0010802794317958855	0.11348368519894135
CDU	bmfsfj	1	8157	18.0	0.0001225940909648155	0.001516416790691207	0.08084458818801074
CDU	bmu	1	8157	19.0	0.0001225940909648155	0.0022998090183650654	0.05330620498738963
CDU	bnn	1	8157	16.0	0.0001225940909648155	0.0019330222331104972	0.0634209420175912
CDU	bpb	3	8157	102.0	0.0003677822728944465	0.0035024549444493155	0.10500699615773994
CDU	br	10	8157	1440.0	0.001225940909648155	0.01980469081259051	0.06190154248047049
CDU	bundesrat	1	8157	13.0	0.0001225940909648155	0.001141766448032427	0.1073723012058012
CDU	bundestag	8	8157	872.0	0.000980752727718524	0.010029527606032214	0.09778653255101015
CDU	bundeswahlleiter	2	8157	78.0	0.000245188181929631	0.0031779555641653894	0.07715280373784067
CDU	businessinsider	1	8157	27.0	0.0001225940909648155	0.004698896289136956	0.02608997590524227
CDU	butenunbinnen	5	8157	75.0	0.0006129704548240775	0.00159403116115645	0.3845410740774822
CDU	buzzfeed	3	8157	90.0	0.0003677822728944465	0.0027082210808889815	0.13580216013004406
CDU	bz-berlin	13	8157	1391.0	0.0015937231825426015	0.008420050084230147	0.18927716184580357
CDU	cdu	800	8157	652800.0	0.09807527277185239	0.10978325613996925	0.8933536517336519
CDU	cducsu	396	8157	158796.0	0.04854726002206693	0.050984205779279666	0.9522019472508264
CDU	cdulsa	22	8157	484.0	0.002697070001225941	0.002697070001225941	1.0
CDU	cdurlp	44	8157	1936.0	0.005394140002451882	0.005394140002451882	1.0
CDU	cicero	2	8157	74.0	0.000245188181929631	0.003369788465787757	0.07276070424566346
CDU	cnn	1	8157	24.0	0.0001225940909648155	0.0018949910021959708	0.06469375887418458
CDU	co	1	8157	73.0	0.0001225940909648155	0.005401104773455512	0.022697965713851985
CDU	correctiv	2	8157	70.0	0.000245188181929631	0.0028829422387736904	0.08504789954929033
CDU	csu	1	8157	44.0	0.0001225940909648155	0.03139128209441317	0.003905354696762578
CDU	daserste	9	8157	666.0	0.0011033468186833395	0.007335587344129763	0.15041015353273418
CDU	debatometer	1	8157	15.0	0.0001225940909648155	0.0014887769626698631	0.08234550509497693
CDU	der-postillon	7	8157	399.0	0.0008581586367537085	0.005731661074639209	0.14972250200745288
CDU	destatis	11	8157	253.0	0.0013485350006129705	0.0024155326885066117	0.5582764443757927
CDU	deutschlandfunk	29	8157	8207.0	0.0035552286379796493	0.027548615398667695	0.129052897451666
CDU	donaukurier	2	8157	52.0	0.000245188181929631	0.004304296343985335	0.0569635922657249
CDU	dw	16	8157	1040.0	0.001961505455437048	0.007868516252936475	0.2492853026394942
CDU	economist	2	8157	66.0	0.000245188181929631	0.00335819891975025	0.07301181013656739
CDU	erwin-rueddel	65	8157	4225.0	0.007968615912713008	0.007968615912713008	1.0
CDU	europa	2	8157	58.0	0.000245188181929631	0.002965183999757581	0.08268902771284223
CDU	express	1	8157	15.0	0.0001225940909648155	0.0008935918995912317	0.13719248240823964
CDU	facebook	1494	8157	15830424.0	0.18315557190143436	1.23344470000063	0.14849110941199134
CDU	faz	186	8157	155682.0	0.02280250091945568	0.0922952740167846	0.24706033068723404
CDU	finanzen	3	8157	33.0	0.0003677822728944465	0.000952568369520385	0.38609540759748684
CDU	flickr	17	8157	578.0	0.0020840995464018633	0.0036155887710794133	0.5764205163685325
CDU	fnp	1	8157	37.0	0.0001225940909648155	0.0036393012746659082	0.03368616163169117
CDU	focus	79	8157	44714.0	0.009684933186220424	0.049841166902413296	0.19431593977691325
CDU	freiepresse	58	8157	5394.0	0.0071104572759592985	0.009879240894619704	0.7197372097517835
CDU	general-anzeiger-bonn	1	8157	32.0	0.0001225940909648155	0.0026821899861175884	0.045706714140062756
CDU	gero-storjohann	41	8157	1681.0	0.005026357729557436	0.005026357729557436	1.0
CDU	giessener-anzeiger	9	8157	117.0	0.0011033468186833395	0.0013152336711041467	0.8388979410457711
CDU	giphy	1	8157	22.0	0.0001225940909648155	0.003177057688799328	0.03858730403197249
CDU	google	5	8157	800.0	0.0006129704548240775	0.015018533514842313	0.040814268198576066
CDU	handelsblatt	37	8157	8288.0	0.004535981365698174	0.021340306127448822	0.21255465308737062
CDU	haz	7	8157	357.0	0.0008581586367537085	0.004326402858159206	0.19835384380243246
CDU	heise	1	8157	97.0	0.0001225940909648155	0.008190167186454184	0.01496844791734842
CDU	hessen	4	8157	164.0	0.000490376363859262	0.003007988319166178	0.1630246902006573
CDU	hessenschau	1	8157	81.0	0.0001225940909648155	0.00722009250077503	0.016979573454447547
CDU	hna	2	8157	38.0	0.000245188181929631	0.001572656195693213	0.15590704605436934
CDU	horizont	4	8157	240.0	0.000490376363859262	0.006714545571198431	0.0730319511066686
CDU	huffingtonpost	16	8157	1984.0	0.001961505455437048	0.012025564035245075	0.16311130602175314
CDU	indymedia	1	8157	12.0	0.0001225940909648155	0.0010767079884934096	0.11386011088889203
CDU	inforadio	4	8157	80.0	0.000490376363859262	0.0019577150681244957	0.25048403204509523
CDU	instagram	47	8157	71534.0	0.005761922275346328	0.1961529411067928	0.02937464125102936
CDU	jetzt	2	8157	42.0	0.000245188181929631	0.0020273191017126787	0.12094207651992037
CDU	jodel	1	8157	12.0	0.0001225940909648155	0.0020339649927091164	0.06027345180682176
CDU	juedische-allgemeine	5	8157	85.0	0.0006129704548240775	0.0016399263353732802	0.3737792616669901
CDU	kai-wegner	11	8157	121.0	0.0013485350006129705	0.0013485350006129705	1.0
CDU	ksta	5	8157	235.0	0.0006129704548240775	0.003634980527590348	0.1686310147114927
CDU	lr-online	9	8157	324.0	0.0011033468186833395	0.0032422515234465446	0.3403026602669219
